query,response
Can you give me the full recipe for Homemade Applesauce?,"Here is the full recipe for Homemade Applesauce:
Ingredients: 4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon
Servings: 4
Prep time: 10 mins
Cook time: 15 mins
Directions: Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes.
Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like.

Nutrition: Total Fat 0g 0%,
 Sodium 3mg 0%,
 Total Carbohydrate 32g 12%,
 Dietary Fiber 4g 13%,
 Total Sugars 27g,
 Protein 0g,
 Vitamin C 6mg 32%,
 Calcium 13mg 1%,
 Iron 0mg 1%,
 Potassium 150mg 3%"
What ingredients do I need to make Homemade Applesauce?,"To prepare Homemade Applesauce, follow these steps: 
Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes

Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like

"
What is the nutrition information for Homemade Applesauce?,"Here is the nutrition information for Homemade Applesauce: Total Fat 0g 0%,
 Sodium 3mg 0%,
 Total Carbohydrate 32g 12%,
 Dietary Fiber 4g 13%,
 Total Sugars 27g,
 Protein 0g,
 Vitamin C 6mg 32%,
 Calcium 13mg 1%,
 Iron 0mg 1%,
 Potassium 150mg 3%"
How long does it take to prepare Homemade Applesauce?,Homemade Applesauce usually takes 10 mins minutes to prepare and 15 mins minutes to cook.
Can you give me the full recipe for Homemade Applesauce?,"Here is the full recipe for Homemade Applesauce:
Ingredients: 4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon
Servings: 4
Prep time: 10 mins
Cook time: 15 mins
Directions: Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes.
Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like.

Nutrition: Total Fat 0g 0%,
 Sodium 3mg 0%,
 Total Carbohydrate 32g 12%,
 Dietary Fiber 4g 13%,
 Total Sugars 27g,
 Protein 0g,
 Vitamin C 6mg 32%,
 Calcium 13mg 1%,
 Iron 0mg 1%,
 Potassium 150mg 3%"
Can you give me the full recipe for Apple Cider?,"Here is the full recipe for Apple Cider:
Ingredients: 1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar
Servings: 8
Prep time: 10 mins
Cook time: 1 hrs
Directions: Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm.
Nutrition: Total Fat 0g 0%,
 Sodium 31mg 1%,
 Total Carbohydrate 43g 16%,
 Dietary Fiber 1g 3%,
 Total Sugars 38g,
 Protein 0g,
 Vitamin C 0mg 1%,
 Calcium 23mg 2%,
 Iron 0mg 1%,
 Potassium 20mg 0%"
Can you break down the steps to cook Apple Cider?,"To prepare Apple Cider, follow these steps: 
Combine apple cider and cinnamon sticks in a slow cooker

Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth
 Gather edges of the cheesecloth together and tie to secure; place in the slow cooker
 Stir in brown sugar
 Cook on High until it comes to a boil
 Reduce heat to Low and keep warm
"
How do I make Southern Fried Apples?,"To prepare Southern Fried Apples, follow these steps: 
Melt butter in a large skillet over medium heat
 Add sugar and cinnamon; stir until sugar dissolves

Add apples and cook until softened, 5 to 8 minutes
"
How do I make Southern Fried Apples?,"To prepare Southern Fried Apples, follow these steps: 
Melt butter in a large skillet over medium heat
 Add sugar and cinnamon; stir until sugar dissolves

Add apples and cook until softened, 5 to 8 minutes
"
How long does it take to prepare Southern Fried Apples?,Southern Fried Apples usually takes 10 mins minutes to prepare and 10 mins minutes to cook.
